0   1   30   29   32   28   31   21   19   20   77   68   97   24   25   26   95   96   98   79   78   61   67   87   9   63   66   86   94   8   84   46   16   81   80   93   17   45   92   18   91   70   72   90   48   47   15   14   13   55   12   58   59   60   56   4   5   52   3   54   57   7   49   50   51   65   85   64   6   73   74   62   69   76   71   23   27   53   82   83   22   2   36   37   41   89   88   75   99   42   43   44   34   40   39   35   33   38   11   10
S. No.,tracking_id,cluster,lat,lng
49,UID1000194787,0,12.9558,77.5616
50,UID1000194788,0,12.9536,77.5626
51,UID1000194789,0,12.954,77.5633
52,UID1000194790,0,12.9516,77.548
53,UID1000194841,0,12.9448,77.5932
54,UID1000194842,0,12.9349,77.5533
55,UID1000194843,0,12.9551,77.5651
56,UID1000194844,0,12.9467,77.5405
57,UID1000194845,0,12.9361,77.5537
58,UID1000194846,0,12.9513,77.5428
59,UID1000194847,0,12.9513,77.5419
60,UID1000194848,0,12.9513,77.5418
61,UID1000194849,0,12.9092,77.5714
62,UID1000194850,0,12.9032,77.5673
63,UID1000194851,0,12.9069,77.57
64,UID1000194852,0,12.9065,77.5693
65,UID1000194853,0,12.9077,77.5691
66,UID1000194854,0,12.9067,77.5698
67,UID1000194855,0,12.906,77.5706
68,UID1000194856,0,12.9035,77.5693
69,UID1000194857,0,12.9034,77.5688
70,UID1000194858,0,12.9035,77.5681
71,UID1000194859,0,12.9045,77.5688
72,UID1000194860,0,12.904,77.5682
73,UID1000194861,0,12.9039,77.5674
74,UID1000194862,0,12.9038,77.5674
75,UID1000194863,0,12.9029,77.5673
76,UID1000194864,0,12.903,77.5686
77,UID1000194865,0,12.9028,77.5692
78,UID1000194866,0,12.9095,77.5717
79,UID1000194867,0,12.9095,77.5717
80,UID1000194868,0,12.914,77.567
81,UID1000194869,0,12.9141,77.5662
82,UID1000194870,0,12.9457,77.5923
83,UID1000194871,0,12.9471,77.5915
84,UID1000194872,0,12.93,77.561
85,UID1000194873,0,12.9071,77.5692
86,UID1000194874,0,12.9059,77.5697
87,UID1000194875,0,12.9059,77.5704
88,UID1000194877,0,12.9053,77.5684
89,UID1000194878,0,12.905,77.5684
90,UID1000194879,0,12.9043,77.5683
91,UID1000194883,0,12.905,77.5677
92,UID1000194943,0,12.9225,77.5562
93,UID1000194944,0,12.9155,77.5577
94,UID1000194945,0,12.9277,77.562
95,UID1000194946,0,12.9377,77.5719
96,UID1000194947,0,12.937,77.5723
97,UID1000195019,0,12.9028,77.5695
98,UID1000195020,0,12.9124,77.5726
99,UID1000195023,0,12.9126,77.5738
100,UID1000195026,0,12.9127,77.5754
101,UID1000195027,0,12.9094,77.5743
102,UID1000195028,0,12.9094,77.5744
103,UID1000195029,0,12.9125,77.5748
104,UID1000195032,0,12.914,77.5665
105,UID1000195033,0,12.9052,77.5633
106,UID1000195034,0,12.9041,77.5653
107,UID1000195035,0,12.9059,77.563
108,UID1000195036,0,12.9084,77.5641
109,UID1000195189,0,12.9002,77.575
110,UID1000195190,0,12.8994,77.5759
111,UID1000195191,0,12.9009,77.5751
112,UID1000195192,0,12.9009,77.5762
113,UID1000195193,0,12.906,77.5698
114,UID1000195194,0,12.899,77.5758
115,UID1000195195,0,12.9027,77.5688
116,UID1000195196,0,12.9054,77.5687
117,UID1000195198,0,12.907,77.5693
118,UID1000195199,0,12.9037,77.5656
119,UID1000195200,0,12.9036,77.5694
120,UID1000195201,0,12.9067,77.573
121,UID1000195203,0,12.9035,77.5676
122,UID1000196046,0,12.9564,77.5551
123,UID1000196047,0,12.9562,77.5552
124,UID1000042932,0,12.9604483,77.5911283
125,UID1000042933,0,12.9651863,77.5937248
126,UID1000042952,0,12.9323062,77.5662796
127,UID1000042956,0,12.93538,77.5676767
128,UID1000042957,0,12.9345551,77.5660769
129,UID1000042958,0,12.93481,77.5659067
130,UID1000042959,0,12.9334548,77.5661138
131,UID1000042961,0,12.9330575,77.5680698
132,UID1000042962,0,12.9334728,77.5680758
133,UID1000042966,0,12.9312351,77.5672817
134,UID1000042967,0,12.9310305,77.5678634
135,UID1000042968,0,12.9302633,77.5668233
136,UID1000042969,0,12.9305,77.5656
137,UID1000042970,0,12.931281,77.5638302
138,UID1000042972,0,12.9302464,77.5709537
139,UID1000042975,0,12.932125,77.5688683
140,UID1000042976,0,12.9298,77.5706
141,UID1000042977,0,12.9332002,77.5690835
142,UID1000042980,0,12.9358133,77.5716283
143,UID1000042985,0,12.9436,77.5449
144,UID1000042987,0,12.913,77.5715
145,UID1000042988,0,12.9132483,77.5733717
146,UID1000042992,0,12.9095537,77.5726635
147,UID1000042994,0,12.9086486,77.5725851
148,UID1000042996,0,12.9083615,77.571963
149,UID1000042998,0,12.904154,77.5762427
150,UID1000043001,0,12.9137529,77.5714801
151,UID1000043002,0,12.9029049,77.5681433
152,UID1000043006,0,12.9022,77.5759
153,UID1000043007,0,12.9021,77.5759
154,UID1000043008,0,12.9029,77.5682
155,UID1000043011,0,12.900253,77.5747926
156,UID1000043015,0,12.9009117,77.5700133
157,UID1000043017,0,12.8983,77.5704
158,UID1000043020,0,12.8988,77.5694
159,UID1000043021,0,12.8705,77.5371
160,UID1000043022,0,12.8983969,77.5674733
161,UID1000043024,0,12.8984,77.5675
162,UID1000043025,0,12.8985135,77.5676089
163,UID1000043026,0,12.8987845,77.569583
164,UID1000043027,0,12.891631,77.5603405
165,UID1000043029,0,12.8906,77.5614
166,UID1000043032,0,12.8907,77.5612
167,UID1000043033,0,12.8909,77.5612
168,UID1000043034,0,12.8913781,77.5605818
169,UID1000043035,0,12.8991,77.5698
170,UID1000043036,0,12.8909748,77.5597537
171,UID1000043040,0,12.9031139,77.5751123
172,UID1000043046,0,12.9451839,77.548666
173,UID1000043047,0,12.9486,77.5493
174,UID1000043048,0,12.9449,77.5508
175,UID1000043050,0,12.94449,77.5541133
176,UID1000043051,0,12.9446963,77.5516526
177,UID1000043056,0,12.9447,77.5524
178,UID1000043058,0,12.9442,77.5538
179,UID1000043060,0,12.9445705,77.5539747
180,UID1000043061,0,12.9446417,77.5536283
181,UID1000043063,0,12.9486763,77.5490251
182,UID1000043064,0,12.9445832,77.5542321
183,UID1000043066,0,12.9446593,77.555
184,UID1000043068,0,12.9247,77.5461
185,UID1000043069,0,12.9444112,77.5573867
186,UID1000043071,0,12.9443,77.5497
187,UID1000043073,0,12.9463346,77.5550063
188,UID1000043076,0,12.9460817,77.5444337
189,UID1000043077,0,12.9395971,77.5427899
190,UID1000043078,0,12.9475,77.5406
191,UID1000043082,0,12.9429564,77.6000749
192,UID1000043085,0,12.9090853,77.5629935
193,UID1000043086,0,12.9025,77.557
194,UID1000043087,0,12.943,77.5999
195,UID1000043090,0,12.9097,77.5644
196,UID1000043091,0,12.9253985,77.5576972
197,UID1000043095,0,12.9428145,77.5998332
198,UID1000043096,0,12.9429368,77.6000745
199,UID1000043097,0,12.9425,77.6009
200,UID1000043098,0,12.9469314,77.6005902
201,UID1000043099,0,12.9427,77.5986
202,UID1000043100,0,12.9435,77.5983
203,UID1000043103,0,12.9447,77.5974
204,UID1000043104,0,12.9401,77.6011
205,UID1000043105,0,12.9431851,77.598553
206,UID1000043106,0,12.94,77.6012
207,UID1000043107,0,12.9433,77.5976
208,UID1000043108,0,12.9429,77.5977
209,UID1000043109,0,12.9428,77.5976
210,UID1000043116,0,12.9239987,77.5660475
211,UID1000043122,0,12.9518758,77.5643091
212,UID1000043124,0,12.9421117,77.5547933
213,UID1000043125,0,12.9400347,77.5601397
214,UID1000043126,0,12.94349,77.5603667
215,UID1000043127,0,12.9434398,77.5593704
216,UID1000043128,0,12.9427133,77.5652267
217,UID1000043135,0,12.9507,77.5714
218,UID1000043136,0,12.9470098,77.5690818
219,UID1000043137,0,12.9457,77.571
220,UID1000043138,0,12.938971,77.5728489
221,UID1000043139,0,12.9451,77.5715
222,UID1000043140,0,12.9024,77.5081
223,UID1000043141,0,12.9489,77.5485
224,UID1000043146,0,12.9409481,77.5408732
225,UID1000043148,0,12.9428563,77.5449286
226,UID1000043151,0,12.914,77.5664
227,UID1000043153,0,12.917,77.5602
228,UID1000043154,0,12.9047929,77.5681424
229,UID1000043160,0,12.9061,77.5696
230,UID1000043165,0,12.9029,77.5624
231,UID1000043167,0,12.9090936,77.5630357
232,UID1000043168,0,12.9484,77.5409
233,UID1000043170,0,12.8978,77.571
234,UID1000043172,0,12.8691,77.5352
235,UID1000043173,0,12.8839,77.5501
236,UID1000043176,0,12.9192075,77.5698046
237,UID1000043179,0,12.9203,77.5694
238,UID1000043180,0,12.9153,77.5496
239,UID1000043181,0,12.9304,77.5529
240,UID1000043182,0,12.9158808,77.5569314
241,UID1000043187,0,12.9197822,77.5513296
242,UID1000043188,0,12.9305883,77.5472839
243,UID1000043189,0,12.9253419,77.5577159
244,UID1000043190,0,12.9274,77.5518
245,UID1000043191,0,12.9296,77.555
246,UID1000043192,0,12.9288,77.5496
247,UID1000043194,0,12.9325,77.556
248,UID1000043196,0,12.920498,77.5471992
249,UID1000043197,0,12.9215,77.5482
250,UID1000043199,0,12.9263659,77.5546151
251,UID1000043201,0,12.9228,77.5492
252,UID1000043204,0,12.9011125,77.5594327
253,UID1000043205,0,12.9418981,77.5547858
254,UID1000043206,0,12.915,77.5609
255,UID1000043207,0,12.9153,77.5622
256,UID1000043212,0,12.9165,77.5643
257,UID1000043213,0,12.9132221,77.5572649
258,UID1000043216,0,12.917,77.5615
259,UID1000043217,0,12.9058,77.5694
260,UID1000043219,0,12.9134,77.5622
261,UID1000043220,0,12.9349987,77.5633882
262,UID1000043221,0,12.9121,77.562
263,UID1000043225,0,12.9214083,77.5523164
264,UID1000043226,0,12.9212514,77.5523358
265,UID1000043227,0,12.9215,77.5522
266,UID1000043228,0,12.9216,77.5521
267,UID1000043230,0,12.9219029,77.5507998
268,UID1000043231,0,12.9211,77.5523
269,UID1000043232,0,12.9232,77.553
270,UID1000043236,0,12.9230132,77.5488869
271,UID1000043241,0,12.9233,77.553
272,UID1000043244,0,12.9004995,77.5083175
273,UID1000043249,0,12.9318,77.5529
274,UID1000043252,0,12.9262,77.5535
275,UID1000043255,0,12.9376,77.5629
276,UID1000043257,0,12.9350632,77.5633833
277,UID1000043259,0,12.9344,77.5608
278,UID1000043262,0,12.9335633,77.5626487
279,UID1000043267,0,12.9352,77.5608
280,UID1000043268,0,12.9318,77.5531
281,UID1000043269,0,12.9440323,77.5262431
282,UID1000043271,0,12.9302,77.5523
283,UID1000043275,0,12.9337,77.5552
284,UID1000043276,0,12.937339,77.5574204
285,UID1000043279,0,12.9362,77.558
286,UID1000043280,0,12.9386923,77.5526152
287,UID1000043282,0,12.9342021,77.5553033
288,UID1000043283,0,12.9404378,77.5577882
289,UID1000043284,0,12.9247121,77.5461283
290,UID1000043286,0,12.9332037,77.5581745
291,UID1000043290,0,12.9216,77.5558
292,UID1000043291,0,12.9221615,77.5562248
293,UID1000043292,0,12.9158932,77.5508243
294,UID1000043297,0,12.9261,77.5536
295,UID1000043298,0,12.9286247,77.5569585
296,UID1000043300,0,12.9267747,77.5596228
297,UID1000043302,0,12.9310038,77.5730949
298,UID1000043304,0,12.9095767,77.57113
299,UID1000043308,0,12.868,77.5359
300,UID1000043309,0,12.8837,77.5573
301,UID1000043310,0,12.8856,77.5576
302,UID1000043313,0,12.8759,77.5374
303,UID1000043315,0,12.8980316,77.56312
304,UID1000043316,0,12.8965971,77.5669821
305,UID1000043317,0,12.9517,77.5806
306,UID1000043319,0,12.9516,77.5802
307,UID1000043321,0,12.9617495,77.5775766
308,UID1000043322,0,12.9509533,77.5806133
309,UID1000043323,0,12.9517,77.5805
310,UID1000043325,0,12.9516,77.5805
311,UID1000043326,0,12.9541,77.5829
312,UID1000043327,0,12.95967,77.5658496
313,UID1000043329,0,12.9244,77.5466
314,UID1000043333,0,12.9523,77.5775
315,UID1000043335,0,12.9524,77.5775
316,UID1000043338,0,12.9530155,77.5761253
317,UID1000043341,0,12.9536,77.5531
318,UID1000043343,0,12.9566,77.555
319,UID1000043344,0,12.9601544,77.5607035
320,UID1000043349,0,12.9549,77.5564
321,UID1000043350,0,12.9559,77.5584
322,UID1000043352,0,12.9582,77.5674
323,UID1000043361,0,12.9605,77.5915
324,UID1000043370,0,12.9468,77.5996
325,UID1000043374,0,12.950938,77.599698
326,UID1000043379,0,12.9568,77.5569
327,UID1000043381,0,12.9448833,77.5613867
328,UID1000043382,0,12.9453,77.5616
329,UID1000043383,0,12.9459,77.5615
330,UID1000043387,0,12.9435,77.5662
331,UID1000043388,0,12.9437183,77.5652433
332,UID1000043390,0,12.9435,77.5608
333,UID1000043393,0,12.9400694,77.5601296
334,UID1000043396,0,12.9480093,77.5438641
335,UID1000043399,0,12.9423,77.5481
336,UID1000043400,0,12.9424917,77.5482333
337,UID1000043401,0,12.9461164,77.5440089
338,UID1000043402,0,12.9457,77.5442
339,UID1000043404,0,12.9253517,77.5577483
340,UID1000043407,0,12.9433,77.5418
341,UID1000043413,0,12.9468,77.5391
342,UID1000043415,0,12.9432312,77.5439716
343,UID1000043419,0,12.9434175,77.5379879
344,UID1000043420,0,12.943855,77.5399633
345,UID1000043421,0,12.9455,77.5385
346,UID1000043428,0,12.9318,77.5529
347,UID1000043429,0,12.937631,77.5575217
348,UID1000043430,0,12.9379938,77.5570402
349,UID1000043432,0,12.9361,77.5561
350,UID1000043433,0,12.9244,77.5467
351,UID1000043437,0,12.9354743,77.5557289
352,UID1000043438,0,12.9351162,77.5556992
353,UID1000043439,0,12.9365,77.5559
354,UID1000043440,0,12.9408824,77.5521478
355,UID1000043442,0,12.9363271,77.5537717
356,UID1000043443,0,12.9360715,77.5536931
357,UID1000043444,0,12.9359419,77.5535769
358,UID1000043445,0,12.936,77.5537
359,UID1000043446,0,12.932705,77.5517283
360,UID1000043447,0,12.9360641,77.5536616
361,UID1000043453,0,12.94,77.5515
362,UID1000043454,0,12.9386631,77.5574336
363,UID1000043455,0,12.9357,77.5559
364,UID1000043460,0,12.9341399,77.5629466
365,UID1000043462,0,12.9334957,77.5625136
366,UID1000043466,0,12.9144417,77.5739467
367,UID1000043467,0,12.9338,77.5584
368,UID1000043468,0,12.9328,77.5568
369,UID1000043472,0,12.9300683,77.5540267
370,UID1000043473,0,12.9305,77.5525
371,UID1000043474,0,12.9291,77.5546
372,UID1000043475,0,12.929205,77.5543683
373,UID1000043476,0,12.93054,77.5530633
374,UID1000043477,0,12.9302,77.553
375,UID1000043478,0,12.9301,77.5531
376,UID1000043480,0,12.931,77.5548
377,UID1000043486,0,12.9475396,77.5986983
378,UID1000043488,0,12.9501067,77.59651
379,UID1000043489,0,12.949895,77.596605
380,UID1000043491,0,12.9306067,77.5538283
381,UID1000043494,0,12.947,77.6007
382,UID1000043496,0,12.9473,77.6008
383,UID1000043497,0,12.9512,77.6003
384,UID1000043500,0,12.9483906,77.600984
385,UID1000043502,0,12.9483405,77.6000803
386,UID1000043503,0,12.9498,77.6011
387,UID1000043507,0,12.9318,77.5532
388,UID1000043508,0,12.9051533,77.5209844
389,UID1000043509,0,12.943,77.5982
390,UID1000043512,0,12.9498933,77.6008383
391,UID1000043513,0,12.9414,77.5999
392,UID1000043514,0,12.9259445,77.5448107
393,UID1000043515,0,12.9427,77.5985
394,UID1000043516,0,12.9440863,77.5261803
395,UID1000043518,0,12.9472,77.5987
396,UID1000043523,0,12.9129714,77.5506885
397,UID1000043525,0,12.9665,77.5926
398,UID1000043527,0,12.9193,77.5502
399,UID1000043537,0,12.9163983,77.5508167
400,UID1000043540,0,12.9250917,77.5588617
401,UID1000043552,0,12.9090818,77.5628909
402,UID1000043559,0,12.9253947,77.5576997
403,UID1000043560,0,12.9025,77.5571
404,UID1000043562,0,12.9025,77.5627
405,UID1000043564,0,12.9009,77.5637
406,UID1000043566,0,12.9028,77.5621
407,UID1000043569,0,12.9059,77.5629
408,UID1000043571,0,12.904942,77.5637324
409,UID1000043574,0,12.9385123,77.5528129
410,UID1000043577,0,12.8984017,77.5674783
411,UID1000043579,0,12.9023,77.576
412,UID1000043583,0,12.9532922,77.5517764
413,UID1000043584,0,12.9597583,77.5667933
414,UID1000043588,0,12.9593767,77.565945
415,UID1000043589,0,12.9567517,77.5541295
416,UID1000043594,0,12.9539,77.5637
417,UID1000043596,0,12.9397468,77.5712007
418,UID1000043598,0,12.9602,77.5579
419,UID1000043601,0,12.9347199,77.5716058
420,UID1000043602,0,12.9370063,77.575579
421,UID1000043603,0,12.9353,77.575
422,UID1000043604,0,12.9353,77.5754
423,UID1000043605,0,12.9331,77.5785
424,UID1000043606,0,12.9331,77.5789
425,UID1000043607,0,12.9245,77.5467
426,UID1000043609,0,12.9311,77.576
427,UID1000043610,0,12.9312,77.576
428,UID1000043611,0,12.9303373,77.576572
429,UID1000043613,0,12.9302434,77.5764866
430,UID1000043615,0,12.9297,77.5767
431,UID1000043617,0,12.9225789,77.5780082
432,UID1000043620,0,12.9210677,77.5742905
433,UID1000043621,0,12.92,77.5744
434,UID1000043623,0,12.9203971,77.5742499
435,UID1000043624,0,12.9183,77.5738
436,UID1000043633,0,12.9365,77.5758
437,UID1000043634,0,12.9243301,77.5672591
438,UID1000043635,0,12.9162075,77.5686688
439,UID1000043636,0,12.9205,77.5695
440,UID1000043637,0,12.9267621,77.570728
441,UID1000043638,0,12.9268,77.5594
442,UID1000043640,0,12.9256,77.5668
443,UID1000043641,0,12.9268114,77.5600149
444,UID1000043642,0,12.9241401,77.5669717
445,UID1000043643,0,12.9362,77.5757
446,UID1000043644,0,12.9266,77.5595
447,UID1000043650,0,12.9312,77.5728
448,UID1000043653,0,12.9269,77.571
449,UID1000043654,0,12.9252,77.5736
450,UID1000043655,0,12.9609,77.5652
451,UID1000043656,0,12.958,77.5675
452,UID1000043657,0,12.9581222,77.5688149
453,UID1000043660,0,12.9591,77.5673
454,UID1000043663,0,12.96,77.5673
455,UID1000043665,0,12.9524525,77.5518315
456,UID1000043666,0,12.9598086,77.562816
457,UID1000043669,0,12.959,77.5608
458,UID1000043670,0,12.9596629,77.5608914
459,UID1000043671,0,12.9594,77.5588
460,UID1000043674,0,12.9559652,77.5581234
461,UID1000043675,0,12.9551806,77.5585989
462,UID1000043676,0,12.9550671,77.5580962
463,UID1000043683,0,12.9543033,77.5531722
464,UID1000043684,0,12.9418983,77.5545733
465,UID1000043689,0,12.957,77.5905
466,UID1000043690,0,12.9566,77.5906
467,UID1000043691,0,12.9575,77.5891
468,UID1000043692,0,12.9247,77.5461
469,UID1000043693,0,12.9573,77.5898
470,UID1000043694,0,12.9578,77.5899
471,UID1000043695,0,12.9572,77.59
472,UID1000043696,0,12.9567,77.5904
473,UID1000043697,0,12.9566,77.59
474,UID1000043700,0,12.9576,77.5888
475,UID1000043703,0,12.9571,77.5905
476,UID1000043708,0,12.9246094,77.5461383
477,UID1000043709,0,12.9648486,77.5933059
478,UID1000043713,0,12.966205,77.5912026
479,UID1000043714,0,12.9658617,77.5917983
480,UID1000043715,0,12.9659714,77.5917766
481,UID1000043718,0,12.9677956,77.592003
482,UID1000043720,0,12.9668,77.5926
483,UID1000043723,0,12.9664248,77.5926394
484,UID1000043724,0,12.9669,77.5924
485,UID1000043725,0,12.9666506,77.5926143
486,UID1000043727,0,12.9665,77.5919
487,UID1000043729,0,12.9652976,77.5926353
488,UID1000043730,0,12.9637,77.5931
489,UID1000043731,0,12.9638,77.5929
490,UID1000043735,0,12.8980315,77.5706569
491,UID1000043736,0,12.8902,77.5617
492,UID1000043737,0,12.9497519,77.5540121
493,UID1000043738,0,12.8839064,77.550205
494,UID1000043739,0,12.8789,77.5476
495,UID1000043740,0,12.8685,77.5358
496,UID1000043741,0,12.8693,77.5366
497,UID1000043743,0,12.8852,77.5435
498,UID1000043744,0,12.8842599,77.5564349
499,UID1000043750,0,12.8747,77.5403
500,UID1000043753,0,12.9448322,77.5468732
501,UID1000043754,0,12.8753,77.5308
502,UID1000043756,0,12.8836,77.5572
503,UID1000043757,0,12.8838,77.5573
504,UID1000043758,0,12.8835,77.5573
505,UID1000043761,0,12.8854718,77.5555135
506,UID1000043769,0,12.9541595,77.5639073
507,UID1000043773,0,12.9536976,77.5626045
508,UID1000043774,0,12.9535,77.5627
509,UID1000043777,0,12.95,77.5634
510,UID1000043781,0,12.9484,77.557
511,UID1000043782,0,12.9485814,77.5571672
512,UID1000043783,0,12.9486,77.5574
513,UID1000043786,0,12.9436,77.5662
514,UID1000043789,0,12.9434505,77.5612747
515,UID1000043790,0,12.9404,77.5601
516,UID1000043791,0,12.9319082,77.5688818
517,UID1000043793,0,12.9413,77.5596
518,UID1000043797,0,12.9455,77.5714
519,UID1000043798,0,12.9464819,77.5716657
520,UID1000043799,0,12.9466,77.5718
521,UID1000043800,0,12.9482,77.571
522,UID1000043804,0,12.9421593,77.5704441
523,UID1000043808,0,12.9511,77.5714
524,UID1000043809,0,12.9449,77.5706
525,UID1000043810,0,12.9502538,77.5708103
526,UID1000043813,0,12.9481,77.5687
527,UID1000043815,0,12.9352556,77.5660508
528,UID1000043821,0,12.9355283,77.5713583
529,UID1000043829,0,12.946,77.549
530,UID1000043831,0,12.9236,77.549
531,UID1000043832,0,12.9386,77.5632
532,UID1000043834,0,12.9385,77.5531
533,UID1000043838,0,12.9524,77.5537
534,UID1000043845,0,12.9572,77.5881
535,UID1000043850,0,12.943325,77.5417217
536,UID1000043852,0,12.9464,77.5427
537,UID1000043853,0,12.9410387,77.539805
538,UID1000043857,0,12.9049,77.5682
539,UID1000043858,0,12.9438883,77.5536695
540,UID1000043859,0,12.9462923,77.5558988
541,UID1000043862,0,12.943875,77.59881
542,UID1000043865,0,12.9201294,77.5513346
543,UID1000043868,0,12.9174,77.558
544,UID1000043871,0,12.9181806,77.5487719
545,UID1000043872,0,12.9323722,77.5642047
546,UID1000043876,0,12.9440286,77.5262511
547,UID1000043890,0,12.9494,77.6
548,UID1000043891,0,12.9473,77.6007
549,UID1000043894,0,12.9493,77.559
550,UID1000043897,0,12.9436,77.5613
551,UID1000043898,0,12.9465,77.5606
552,UID1000043899,0,12.9435917,77.5670417
553,UID1000043901,0,12.9435,77.5596
554,UID1000043908,0,12.9481,77.5688
555,UID1000043910,0,12.9319265,77.5687032
556,UID1000043911,0,12.9358,77.5717
557,UID1000043916,0,12.9322,77.5689
558,UID1000043918,0,12.93,77.5702
559,UID1000043919,0,12.9333,77.5682
560,UID1000043923,0,12.9240033,77.56619
561,UID1000043925,0,12.9166,77.5618
562,UID1000043926,0,12.9021059,77.56923
563,UID1000043929,0,12.9014705,77.5683452
564,UID1000043933,0,12.8905,77.5638
565,UID1000043942,0,12.9156,77.5621
566,UID1000043943,0,12.8988,77.5666
567,UID1000043944,0,12.9007626,77.5682568
568,UID1000043949,0,12.9008914,77.5746213
569,UID1000043953,0,12.9358,77.5636
570,UID1000043954,0,12.9102279,77.5727393
571,UID1000043959,0,12.933719,77.558302
572,UID1000043960,0,12.9370958,77.5521943
573,UID1000043963,0,12.9385,77.5531
574,UID1000043964,0,12.9360431,77.5536412
575,UID1000043965,0,12.9483436,77.5544344
576,UID1000043967,0,12.9571795,77.559538
577,UID1000043975,0,12.9335417,77.5716684
578,UID1000043979,0,12.9448,77.5703
579,UID1000043983,0,12.9455733,77.54493
580,UID1000043984,0,12.9431,77.5474
581,UID1000043985,0,12.9318,77.5532
582,UID1000043993,0,12.8951,77.5101
583,UID1000043999,0,12.919557,77.5492388
584,UID1000044001,0,12.8748,77.5405
585,UID1000044002,0,12.9382,77.5639
586,UID1000044003,0,12.938415,77.5334
587,UID1000044004,0,12.9415,77.5491
588,UID1000044010,0,12.9598,77.5631
589,UID1000044015,0,12.9648,77.5924
590,UID1000044016,0,12.9574,77.5892
591,UID1000044017,0,12.9659,77.5925
592,UID1000044018,0,12.9608,77.5914
593,UID1000044019,0,12.9665,77.5911
594,UID1000044023,0,12.9510594,77.6013416
595,UID1000044024,0,12.9523,77.6016
596,UID1000044028,0,12.9331417,77.5661632
597,UID1000044030,0,12.9335,77.5655
598,UID1000044037,0,12.9034335,77.5553791
599,UID1000044040,0,12.9109,77.5659
600,UID1000044041,0,12.9072326,77.5602611
601,UID1000044043,0,12.905064,77.5630797
602,UID1000044047,0,12.9214049,77.5482646
603,UID1000044048,0,12.9247404,77.549575
604,UID1000044049,0,12.9251298,77.5534902
605,UID1000044050,0,12.92437,77.5466233
606,UID1000044055,0,12.9195283,77.549168
607,UID1000044056,0,12.9155,77.5506
608,UID1000044057,0,12.9186665,77.5540058
609,UID1000044058,0,12.9143,77.5467
610,UID1000044060,0,12.9057687,77.5695147
611,UID1000044063,0,12.9534,77.5551
612,UID1000044066,0,12.8755,77.5333
613,UID1000044067,0,12.8916341,77.5602306
614,UID1000044068,0,12.928,77.5779
615,UID1000044069,0,12.8866,77.5586
616,UID1000044070,0,12.9484,77.55
617,UID1000044072,0,12.9446,77.5534
618,UID1000044073,0,12.8952,77.5104
619,UID1000044075,0,12.9434,77.5411
620,UID1000044079,0,12.9487,77.5559
621,UID1000044080,0,12.9488,77.5564
622,UID1000044082,0,12.9537,77.5647
623,UID1000044084,0,12.9425,77.5976
624,UID1000044085,0,12.9039,77.5105
625,UID1000044087,0,12.952393,77.601485
626,UID1000044088,0,12.9499,77.6003
627,UID1000044089,0,12.9657,77.5908
628,UID1000044098,0,12.91014,77.5643733
